Date,Temperature,basantpur_rainfall,Andhiyarkhore,Bamnidhi,Simga,Ghatora,Rajim,Rampur,Basantpur
01-07-2001,25.64476852,21.94435667,5.4,1350,35,150,160,108,2250
02-07-2001,26.95572685,3.318059259,4.078,496.334,97.25,78,150.366,119.859,1353.26
03-07-2001,27.46153704,2.335703981,3.071,163.761,105.4,35.327,62.633,68.933,1145.23
04-07-2001,27.88608333,7.705986759,2.343,156.041,67.31,21.23,36.257,48.694,676.221
05-07-2001,28.3867037,31.77152454,2.321,148.249,48.46,22.491,29.935,23.432,646.76
06-07-2001,27.49850463,29.31647407,3.877,175.177,37.953,159.533,99.106,27.432,709.075
07-07-2001,27.38809259,17.35703241,11.933,411.439,477.3,70.24,1050.6,87.417,1057.81
08-07-2001,27.69571759,22.975135,7,250,700,76,850,350,1300
09-07-2001,27.09390278,38.97421889,28.225,263.791,760.9,80,7132.83,1382.81,4300
10-07-2001,26.21194907,17.84769907,40.664,524.369,1745.4,62.885,3500,743.7,15685
11-07-2001,26.01803704,24.12992685,23.316,536.635,1600.8,105,1199.84,279.806,10000
12-07-2001,24.77931481,44.00553426,36.27,811.786,767.5,297.543,1155.64,207.386,4800
13-07-2001,24.70410648,29.11964074,150.8,1800,565.3,636.004,1350.27,229.084,5900
14-07-2001,24.93740741,14.28594148,94.047,1145.83,454.5,379.061,615.661,187.2,5200
15-07-2001,25.3632963,13.9549037,65,2100,400,325,500,240,6000
16-07-2001,25.714375,14.91275231,32.779,1510,253.9,173,467.934,567.373,5500
17-07-2001,25.01396759,37.235475,31.425,1400.28,295.6,137.687,1291.37,800,4600
18-07-2001,25.07556019,18.53122778,26.555,1904.24,591.3,148,1201.8,837.814,8000
19-07-2001,25.59174074,12.33913157,20.228,1500,656.8,100,765.402,416.962,6600
20-07-2001,26.10296759,7.934602685,15.28,1300.07,690.6,150,748.686,244.778,5000
21-07-2001,26.54948611,12.34477389,13.896,500,661.5,96,469.044,190.952,3329.4
22-07-2001,26.11312963,22.57114667,8.5,1600,510,92.739,650,150,3800
23-07-2001,25.83819907,20.22732657,9.14,1900,454.6,160,387.986,97.649,3850
24-07-2001,26.35115278,12.63658648,6.138,3036,382.6,200,352.143,147.724,4000
25-07-2001,26.85455556,11.04372861,57.303,3000,312.7,215,951.827,159.304,4400
26-07-2001,27.40312963,5.70742213,43.907,2800,640.1,210,909.097,218.973,4600
27-07-2001,27.21732407,8.087499815,60.17,3016.93,596.8,180,552.181,198.555,5500
28-07-2001,27.16492593,16.08882435,30.017,2400,552,174,367.211,255.792,5000
29-07-2001,27.97408796,4.886095185,30,2200,810,120,350,240,5000
30-07-2001,27.62940741,6.248383704,17.201,2088,529,92.739,141.817,140.197,4300
31-07-2001,28.17120833,4.143476944,16.265,2100.26,331.3,108.063,108.907,75.332,3500
01-08-2001,28.26215741,5.617388241,11.002,750.43,205.336,140,90.093,54.19,2925.04
02-08-2001,27.91788426,7.919941389,7,395,179.597,112.8,96.889,31.918,1200
03-08-2001,27.29363426,14.66021611,7.705,399,140.347,100.715,126.653,130.207,1860.32
04-08-2001,27.06899074,14.08680907,7.1,400,157.654,125,174.246,84.163,1908.67
